entry,glucose,lb,glycerol + aa,acetate,fumarate,glucosamine,glycerol,pyruvate,chemostat µ=0.5,chemostat µ=0.35,chemostat µ=0.20,chemostat µ=0.12,stationary phase 1 day,stationary phase 3 days,osmotic-stress glucose,42°c glucose,ph6 glucose,xylose,mannose,galactose ,succinate,fructose
P27303,13.85,8.68,8.45,8.55,21.59,20.27,16.26,45.77,5.37,12.25,32.26,17.85,92.41,24.88,27.9,20.9,13.23,11.91,21.63,30.24,16.56,10.68
P0AAH8,,,,,,,,,,,,,,,,,,,,,,
P75777,14.71,13.07,24.49,7.37,3.92,19.45,7.31,3.65,22.13,16.01,14.37,2.7,16.83,17.21,24.14,15.18,10.91,28.35,23.8,16.34,5.49,11.4
P31455,8.37,26.69,13.65,18.56,10.33,35.51,2.01,31.97,13.13,21.72,15.45,9.59,15.76,28.98,6.79,22.88,8.12,8.85,16.09,6.08,11.37,22.17
P0AE85,36.82,16.91,8.7,10.15,11.48,4.81,15.97,34.08,16.96,5.54,6.03,6.19,10.64,33.74,4.64,34.33,21.19,28.99,16.18,25.32,23.97,3.26
P05637,12.8,9.83,17.49,19.5,2.83,16.33,7.23,10.59,24.2,6.14,8.26,11.48,6.17,5.08,22.23,69.07,24.71,11.6,22.74,13.82,17.2,3.66
P0AFX9,8.88,1.82,1.35,10.52,6.3,7.77,12.42,3.82,4.27,16.37,9.41,7.73,11.51,4.4,26.13,14.2,3.14,20.45,8.92,23.08,3.97,4.31
P0AFB5,31.4,13.97,27.56,37.05,5.81,29.89,8.7,8.44,9.21,31.06,23.22,10.69,32.5,79.04,36.16,41.16,10.41,30.88,10.93,30.47,11.46,14.5
P0AE70,,,,,,,,,,,,,,,,,,,,,,
P46888,,,,,,,,,,,,,,,,,,,,,,
P0AAB8,21.09,21.18,24.74,19.01,13.53,9.79,5.62,8.07,15.13,1.57,12.49,4.3,8.16,3.49,20.39,16.45,3.12,27.15,6.62,12.33,14.4,18.23
P31802,8.88,6.61,16.06,3.69,10.15,15.01,7.6,9.86,14.08,8.17,10.65,12.82,15.51,23.54,9,6.02,0.13,3.41,5.6,2.9,5.35,7.59
P76270,9.75,2.3,7.49,31.23,2.93,16.89,13.79,8.11,7.31,9.85,5.82,2.73,9.74,3.08,19,10.32,5.23,12.2,12.72,8.26,16.92,44.89
P0AAR3,10.3,14.56,7.2,8.25,1.1,12.38,12.19,27.47,1.01,15.08,9.2,9.23,14.55,18.99,11.74,25.88,6.85,7.88,4.42,21.94,7.87,29.02
P21363,22.81,9.96,30.53,9.19,11.04,14.94,9.03,5.09,28.18,15.86,7.99,6.92,14.87,36.57,26.22,19.12,9.76,21.1,20.79,28.17,25.17,36.39
P76235,12.88,10.78,51.88,14.95,21.84,8.17,16.19,34.88,27.65,13.38,8.22,6.58,23.12,20.37,10.24,57.68,40.42,21.68,11.93,18.13,31.66,8.52
P0A8A2,17.1,34.14,34.5,6.95,9.09,2.84,3.13,15.43,5.94,2.12,8.7,6.76,7.84,3,17.99,3.75,3.18,11.41,3.42,5.2,17.75,11.78
P76346,4.25,3.2,14.37,7.26,8.35,6.47,11.49,4.64,14.84,7.17,15.56,1.14,9.85,11.62,8.59,37.21,12.98,20.01,11.88,6.7,8.07,10.71
P22525,,,,,,,,,,,,,,,,,,,,,,
P32157,22.14,18.16,18.03,20.49,6.46,5.76,4.95,9.75,22.67,19.59,5.16,13.03,29.44,74.09,32.64,2.67,11.86,16.26,16.01,7.13,26.71,10.22
P32680,11.84,15.22,19.79,5.09,21.48,9.51,15.6,4.88,13.03,10,18.58,1.35,17.41,19.93,47.46,33.02,10.99,5.09,15.84,6.49,16.27,14.14
P76193,56.38,20,72.06,2.93,7.89,3.14,6.36,15.4,8.86,8.03,10.94,3.52,7.43,3.15,2.58,20.88,5.25,27.48,13.51,7.72,11.73,10.47
P27862,,,,,,,,,,,,,,,,,,,,,,
P0AF48,,,,,,,,,,,,,,,,,,,,,,
P39411,,,,,,,,,,,,,,,,,,,,,,
P36680,6.43,4.86,4.85,7.94,22.42,14.91,12.08,14.38,8.6,6.24,7.25,6.62,3.05,18.95,9.2,36.58,19.59,12.58,16.91,10.99,7.7,4.72
P0A8Y3,27.96,7.91,15.94,21.18,27.23,5.81,2.57,1.51,29.71,9.61,11.25,5.94,58.33,50.26,14.32,47.13,11.28,21.85,7.96,11.77,15.54,3.49
P0AE22,7.96,7.79,9.52,10.24,18.51,10.88,10.02,11.62,21.44,4.9,13.08,13.64,44.16,13.39,20.39,58.26,6.6,5.66,15.71,13.92,1.96,24.13
P0A6X3,0.68,5.95,3.7,7.86,14.03,6.68,9.56,5.16,8.04,5.2,8.25,7.06,14.18,3.67,4.7,18.55,14.56,10.12,3.97,10.8,7.18,6.34
P76145,52.9,8.77,31.54,20.17,8.27,15.39,6.49,3.4,39.96,3.47,1.7,3.72,15.22,8.24,21.06,34.93,12.93,17.29,11.49,15.43,26.05,7.87
P0AGG8,9.59,9.77,11.29,5.27,6.5,6.42,2.71,9.66,6.6,11.14,11.38,6.05,5.17,7.18,3.87,65.62,9.11,3.41,8.41,12.08,14.49,6.48
P12994,38.48,3.57,3.66,12.19,1.41,7.91,4.87,3.91,16.53,8.92,2.64,6,26.59,6.25,29.53,13.12,8.35,9.75,13.72,12.66,34.07,21.93
P24188,13.47,15.29,52.61,18.76,7.97,11.09,5.8,16.33,16.35,10.67,43.63,12.73,77.44,59.68,25.78,61.94,45.02,37.55,14.37,31.66,21.81,18.35
P76272,44.9,11.91,31.6,31.43,12.17,10.91,13.02,66.97,7.29,6.55,16.69,5.27,34.39,21.98,13.37,7.47,23.98,32.45,26.61,32.48,45.95,19.7
P33030,27.32,9.48,13.45,6.93,16.76,10.98,8.23,9.19,14.38,2.76,32.13,23.01,66.55,12.97,25.46,27.41,8.76,26.48,3.77,7.64,5.5,9.02
P0AD27,36.04,14.35,24.46,22.66,10.66,10.91,25.32,63.36,13.84,12.6,13.95,3.68,17.54,31.56,24.74,15.16,10.85,6.5,26.62,49.09,25.92,37.96
P77625,9.42,3.1,1.79,3.86,12.99,21.76,9.96,7.76,7.58,5.69,8.45,6.44,10.16,6.43,27.66,30.36,20.59,5.36,5.08,3.35,9.47,11
P42599,17.78,18.44,7.78,3.88,13.1,19.06,13.36,19.28,3.18,7.74,12.57,5.77,13.33,24.24,7.89,64.15,28.19,6.39,5.13,16.86,20.46,8.25
P0AEQ1,129.53,12.14,15.11,6.2,25.97,6.14,13.66,9.65,15.04,15.03,0.9,4.17,19.76,22.03,20.13,29.78,10.27,27.69,20.3,19.44,7.12,17.14
P0A756,,,,,,,,,,,,,,,,,,,,,,
P76535,6.29,20.82,8.59,14.35,2.44,30.35,10.32,25.62,2.83,6.92,8.67,7.15,22.49,7.43,32.87,112.23,7.01,13.67,9.58,25.65,11.73,15.03
P0AFB1,9.81,5.73,8.68,8.31,4.24,10.36,3.22,2.38,4.79,11.36,4.91,4.63,20.82,14.16,28.68,16.32,10.31,9.19,18.67,10.83,13.23,8.47
P77756,4.62,4.18,9.56,7.53,19.67,15.81,7.16,9.08,6.83,9.66,22.13,3.78,6.52,4.6,15.73,53.99,4.8,3.07,13.35,10.62,25.83,2.14
P31473,30.69,24.18,30.31,17.8,24.18,21.79,15.04,32.05,29.51,18.49,14.53,15.6,25.04,27.5,11.27,39.34,11.6,17.25,16.39,17.41,33.32,20.69
P75849,5.51,7.41,10.41,11.2,11.24,14.27,8.05,3.05,7.55,3.56,6.61,13.46,18.49,13.68,11.05,30.17,11.78,18.18,13.76,13.62,15.77,32.17
P0AB28,17.19,10.85,5.87,11.83,10.42,5.81,9.48,26.99,5.69,3.34,10.14,7.78,30.38,10.42,10.23,16.47,10.09,8.66,2.5,12.27,17.58,12.65
P76049,,,,,,,,,,,,,,,,,,,,,,
P0A8D6,20.82,2.17,26.59,15.35,13.74,20.07,14.21,10.8,5.72,12.58,1.98,14.62,24.24,29.91,22.39,14.69,2.95,17,11.89,12.03,20.3,22.51
P77475,13.75,8.1,18.78,33.88,16.5,3.56,25.79,13.25,30.09,35.27,27.62,10.09,51.52,44.16,73.45,34.17,86.14,13.58,25.86,45.16,90.9,119.06
P0AF67,4.32,6.04,5.7,6.7,1.48,8.12,6.74,20.66,4.79,14.58,7.41,2.44,50.57,31.96,17.5,27.66,2.21,8.58,8.18,21.66,10.84,2.75
P77580,,,,,,,,,,,,,,,,,,,,,,
P76004,43.95,40.29,34.07,31.07,15.65,17.31,34.03,21.38,17.98,1.89,2.31,10.52,15.27,12.23,10.53,7.13,9.01,7.03,19.02,20.52,21.35,22.47
P16869,37.56,26.87,7.94,40.5,9.3,36.38,17.17,20.29,39.36,22.7,2.69,3.85,29.12,5.43,31.95,45.78,12.16,12.32,26.61,19.9,57.98,15.11
P0AAH0,21.74,26.83,3.94,12.07,24.17,5.05,12.57,33.94,10,15.75,23.36,7.56,57.92,28.2,36.38,22.45,44.89,11.63,38.05,8.21,12.18,11.5
P39830,18.91,3.77,29.94,16.74,9.35,29.88,15.69,33.12,14.48,10.1,17.35,20.16,33.48,11.6,58.17,59.9,17.7,21.81,3.08,18.55,15.24,22.01
P37617,61.05,12.53,7.3,3.54,15.63,15.64,6.7,38.3,35.39,7.43,13.19,14.2,56.69,66.7,35.13,12.42,17.67,19.24,28.35,8.4,30.42,9.56
P0AC62,6.81,11.97,10.06,24.71,1.62,12.14,12.92,13.15,12.81,6.66,8.42,5.45,4.58,9.61,2.82,25.54,2.65,13.63,3.89,20.99,9.33,13.26
P0C054,4.38,7.73,5.65,10.49,9.11,8.08,0.54,9.64,9.7,6.83,5.24,14.69,7.94,18.3,5.91,12.69,13.12,16.51,3.4,4.8,6.61,5.88
P0A744,32.21,10.53,8.94,2.75,6.68,3.12,5.31,12.7,13.99,4.73,14.07,5.34,9.53,6.29,10.4,12.88,5.7,11.5,10.64,11.91,12.66,8.88
P0A7A5,3.03,11.36,7.13,5.29,6.04,15.24,9.13,12.64,0.5,14.33,4.87,12.51,3.65,14.83,2.13,16.11,19.16,7.4,5.34,7.4,5.17,10.21
P0A9L5,12.9,3.74,11.01,24.07,4.04,23.43,20.42,10.23,9.48,8.2,12.76,3.51,36.26,17.34,10.07,26.68,23.93,13.15,24.16,12.67,15.96,11.48
P0A832,2.35,1.83,18.97,31.06,11.2,2.57,2.65,17.65,13.3,3.75,3.78,3.51,46.17,8.17,12.1,18.1,5.94,11.5,3.9,7.24,7.92,8.71
P0AEE3,21.78,14.48,43.88,23.3,20.68,22.09,15.86,16.05,17.28,1.98,18.16,3.88,30.3,28.44,40,19.24,7.57,20.84,28.79,16.83,27.95,11.37
P0AC69,10.85,2.37,4.01,7.42,6.74,3.35,10.43,5.38,1.46,2,4.52,4.45,9.42,8.63,9.67,12.28,7.88,4.65,3.19,7.33,6.51,12.06
P75867,17.69,4.64,7.45,9.66,11.21,10.45,5,6.02,2.78,0.99,7.65,3.72,2.79,1.11,72.02,18.32,14.81,29.47,15.98,22.53,2.81,15.86
P64554,6.44,1.7,20.77,6.32,21.27,13.28,9.96,4.98,12.92,15.89,4.98,6.04,22.06,46.3,12.5,79.36,9.56,4.22,9.77,5.61,1.62,2.34
P28249,11.22,11.06,22.08,13.35,17.98,12.88,16.04,16.29,14.85,3.61,6.11,3.77,19.63,16.16,41.7,24.53,17.6,20.78,22.81,22.93,17.25,20.54
P0AD68,21.48,23.49,37.58,15.71,23.97,10,17.26,37.62,29.15,13.15,21.82,14.54,65.13,80.32,70.35,84.2,28.77,13.49,49.32,59.66,28.09,37.97
P61316,7.91,5.56,14.81,33.38,20.7,13.12,1.08,2.85,8.21,16.26,3.6,7.24,5.48,29.76,7.1,17.43,14.19,9.79,18.27,6.01,11.07,1.87
P0A722,6.08,6.42,8.72,1.81,8.69,3.84,8.65,1.69,12.36,18.99,4.67,8.42,9.75,13.66,27.55,3.39,5.52,3.21,11.14,8.52,4.39,2
P10441,14.22,23.29,14.72,13.2,11.33,20.48,17.9,1.61,11.26,1.84,8.56,9.38,45.4,28.26,32.55,18.08,37.99,7.72,22.69,24.82,29.12,22.88
P37773,9.71,5.54,13.44,3.15,8.01,24.69,11.39,7.02,11.35,1.45,16.63,19.76,6.79,17.98,10.62,42.84,11.83,8.62,13.37,17.21,14.3,24.69
P17443,13.61,26.73,1.84,3.85,32.75,20.01,43.24,1.16,22.25,21.06,60.56,33.11,41.46,20.18,44.99,25.67,6.48,15.01,10.08,1.45,4.65,12.34
P0A927,1.71,3.47,5.64,11.12,6.37,5.23,12.72,14.88,7.02,3.01,4.59,9.09,8.22,1.62,6.12,5.7,2.9,4.56,6.95,12.31,11.06,6.71
P37751,36.81,8.55,12.28,18.86,7.02,25.92,16.63,48.76,6.16,8.36,18.74,12.96,13.06,15.93,73.63,18.23,18.98,15.59,25.77,38.11,27.67,21.95
P45395,17.94,6.36,3.63,4.62,13.56,11.33,7,28.52,9.02,9.48,22.05,13.71,24.81,32.61,64.33,24.06,31.32,11.79,13.93,11.22,25.8,26.06
P75830,20.98,1.84,35.95,4.76,16.79,6.85,5.6,33.85,15.35,31.23,25.78,12.65,30.18,13.86,23.73,13,26.33,16.11,6.8,23.66,9.56,21.33
P76506,14.41,3.68,6.45,3.32,1.27,6.9,8.11,10.27,10.76,2.11,2.72,9.36,5.82,6.5,20.64,5.93,3.44,14.82,2.44,7.98,11.46,4.95
P33362,59.14,7.25,10.22,10.25,5.87,2.02,9.69,2.52,17.72,9.4,3.75,7.73,37.61,31.4,7.33,21.63,5.42,15.77,8.39,8.25,26.79,12.49
P24173,,,,,,,,,,,,,,,,,,,,,,
P27830,23.44,12.08,11.93,13.35,2.25,12.53,10.78,10.54,26.72,15.17,33.67,47.47,19.58,29.03,32.84,57.19,3.92,13.99,19.04,27.43,13.76,21.3
P0A6U5,9.14,9.9,3.41,4.87,6.09,8.93,4.58,7.68,7.58,1.5,2.49,7.41,28,4.44,12.68,19.12,6.71,4.99,19.14,4.11,10.47,6.72
P0AG00,15.07,21.42,17.88,13.6,11.16,5.86,6.24,5.41,4.62,10.13,4.79,9.32,18.48,51.19,32.6,20.7,8.07,18.15,9.27,6.57,10.64,7.09
P15038,32.59,5.19,16.52,11.47,25.16,12.71,26.01,26.96,4.63,10.44,14.28,11.72,27.23,18.98,57.36,18.56,2.72,19.96,14.57,12.28,13.15,22.29
P0ACF0,10.05,5.69,4.94,8.39,3.75,6.49,3.99,2.46,7.2,3.14,4.87,12.47,12.04,8.91,14.72,7.03,4.43,3.4,8.39,7.61,4.75,3.69
P12295,25.73,18.1,13.85,6.53,26.98,5,12.97,5.01,2.32,13.26,16.1,3.86,29.38,2.03,13.3,28.38,7.95,14.29,8.8,14.3,8.21,13.57
P32664,3.82,4.46,9.39,7.18,8.15,3.29,10.68,22.28,17.63,5.36,8.26,4.8,14.66,12.03,6.43,22.99,31.12,7.98,16.2,17.26,11.1,1.94
P20083,22.83,7.05,16.85,12.98,14.81,15.51,4.81,8.56,5.43,5.56,15.58,20.46,47.94,17.3,42.32,44.05,10.26,9.73,19.45,25.35,28.15,13.8
P04994,32.12,13.37,5.8,19.25,12.99,17.07,12.74,17.52,5.42,15.38,12.54,3.94,8.11,26.17,11.42,46.28,5.54,6.14,21.56,6.83,12.75,21.69
P0ACP5,9.18,8.7,6.23,5.58,14.64,30.47,10.86,7.26,12.95,20.62,25.2,12.07,16.2,13.46,16.96,17.43,17.79,2.81,4.21,8.53,2.37,15.59
P77569,19.21,9.73,20.15,10.15,30.59,19.37,19.42,9.67,5.12,5,5.54,3.8,91.31,30.89,43.05,20.51,17.7,19.55,7.1,6.71,20.7,2.94
P0AFX4,32.74,1.91,23.29,18.98,5.12,15.82,2.24,18.09,10.75,11.58,17.14,8.48,27.62,8.58,5.69,12.35,14.2,8.96,2.31,18.05,6.95,3.26
P0ACN4,26.23,2.92,11.18,4.75,11.06,7.96,4.03,4.57,21.76,7.02,3.93,4.49,18.01,20.29,23.35,34.26,11.78,12.49,10.17,5.26,9.83,18.59
P24242,,,,,,,,,,,,,,,,,,,,,,
P0A8R9,,,,,,,,,,,,,,,,,,,,,,
P0AGB6,7,4.89,11.95,2.44,3.44,5.52,11.66,3.93,9.34,5.87,9.97,9.22,5.38,0.4,15.93,13.52,9.61,12.31,10.14,11.19,7.32,15.38
P23917,21.64,2.34,11.11,6.65,13.68,10.91,6.25,7.19,8.18,5.95,5.04,5.27,22.92,8.24,5.29,5.94,8.39,7.92,7.88,6.03,12.02,9.75
P0A6K3,14.78,18.27,4.89,40.07,4.83,8.56,6.33,12.15,11.98,2.2,19.09,15.11,6.04,14.56,7.56,7.21,11.34,17.36,10.12,7.96,9.38,9.18
P0A8T1,19.05,9.01,6.46,8.54,12.23,10.27,9.94,24.09,15.27,16.29,18.43,2.95,38.93,14.63,31.25,49.49,29.69,14.09,8.91,75.17,7.19,29.51
P0A7F9,10.17,6.12,9.32,3.47,9.17,1.03,5.78,10.96,3.78,13.13,15.99,4.59,36.42,13.61,4.99,25.13,16.58,13.06,6.74,40.32,2.1,1.52
P0ADY7,14.11,8.69,14.22,12.64,11.43,6.25,10.58,25.6,10.89,2.75,9.66,3.99,17.68,8,25.85,14.15,10.32,8.63,14.32,15.3,10.92,11.82
P0C018,16.39,3.7,11.99,4.38,13.3,3.37,5.8,4.83,7.04,8.14,3.98,2.45,9.03,48.8,24.96,23.1,6.02,8.94,3.7,5.59,8.14,3.92
P0AG48,12.87,7.31,8.43,2.73,8.99,11.29,4.47,24.21,4.16,13.24,4.79,3.08,3.69,14.33,25.51,9.42,9.85,16.93,8.97,12.73,7.07,7.57
P0A7R9,16.07,4.62,6.57,6.83,2.8,4.73,4.79,10.92,5.94,6.94,5.77,5.14,14.02,6.4,4.57,11.79,3.63,9.32,2.82,13.04,1.74,5.79
P0A7S3,22.99,8.02,17.14,13.9,6.49,41.68,7.18,24.7,12.53,8.59,1.12,5.56,16.78,12.87,7.5,26.53,15.92,18.32,10.29,24.37,11.75,13.8
P0A7T3,22.23,7.99,4.55,8.42,2.32,11.62,7.09,11.39,5.12,5.51,14.81,2.8,5,9.63,8.19,4.25,8.32,2.48,3.33,4.95,6.55,7.61
P0A7U7,15.9,4.13,5.09,2.48,2.98,1.74,1.27,8.04,6.75,4.67,4.14,5.98,7.23,11.47,5.17,24.5,6.07,6.99,1.74,3.49,6.11,2.03
P39199,4.92,7.14,7.97,9.43,18.72,4.04,7.86,3.07,8.77,3.37,7.19,8.4,1.12,9.88,11.18,11.16,16.65,4.08,1.21,11.01,11.13,8.77
P0AD49,13.27,7.04,5.17,13.29,16.09,20.81,19.69,14.85,7.96,8.46,9.14,10.92,8.7,8.89,17.6,17.65,2.42,19.46,5.4,4.37,11.83,6.92
P06992,12.61,0.26,10.86,9.24,2.88,22.03,1.77,12.37,10,15.63,14.97,17.83,28.65,14.04,26.88,27.61,6.61,7.54,16.12,32.82,11.75,10.84
P25397,10.27,2.92,16.13,6.02,7.64,2.12,6.6,11.25,7.25,6.43,6.94,8.88,15.12,14.73,21.18,24.47,6.49,16.27,11.06,10.93,7.26,3.83
P45748,15.98,13.83,9.17,4.15,7.17,9.4,8.11,10.36,5.35,1.99,13.85,8.14,15.56,16.66,2.19,29.54,5.54,5.06,7.66,2.04,4.7,31.05
P62615,12.6,3.33,20.74,8.66,8.58,5.25,14.95,14.28,5.83,3.33,11.76,4.24,40.21,16.02,13.96,35.56,42.22,10.51,11.66,13.81,5.02,5.05
P62617,51.3,0.93,35.53,10.48,12.69,4.79,17.27,5.46,14.1,3.16,8.2,9.3,6.3,10.14,14.62,19.72,6.16,34.13,7.91,10.82,3.69,9.35
P13000,9.63,8.36,10.68,23.66,12.98,26.51,7.47,17.41,16.62,15.12,12.48,5.91,18.38,7.88,10.55,8.74,11.42,32.82,9.96,7.44,16.91,11.65
P12998,13,6.87,4.84,37.74,8.42,19.7,22.06,26.43,4.49,2.18,18.02,15.13,25.21,10.5,9.84,37.32,4.03,13.85,78.31,22.48,16.11,28.78
P0ABQ4,6.52,7.67,0.66,8.42,4.97,4.79,3.33,5.2,7.86,3.57,3.66,6.43,13.64,7.63,14.54,61.22,4.13,8.11,0.49,8.36,5.81,10.39
P0AC19,18.35,3.69,4.9,5.3,4.26,17.83,0.24,10.6,7.27,1.31,5.91,11.37,13.52,8.19,11.36,19.78,8.42,3.83,2,4.21,9.07,5.8
P32131,10.11,17.11,18.33,23.58,3.93,3.37,2.79,9.47,13.73,17.21,10.7,12.42,23.45,40.66,19.57,3.35,28.02,5.59,16.7,6.29,15.6,25.51
P10902,77.31,2.62,14.87,78.21,9.26,7.24,7.23,2.42,30.03,18.27,33.33,25.36,12.33,20.7,19.91,55.55,1.89,16.28,13.66,26.61,7.56,4.25
P06611,,,,,,,,,,,,,,,,,,,,,,
P30749,2.06,8.74,9.28,15.66,12.53,2.24,8.03,15.54,11.17,3.65,18.06,1.95,5.15,5.87,9.01,13.39,5.01,18.15,7.89,10.25,8.75,2.79
P0C0U4,,,,,,,,,,,,,,,,,,,,,,
P39265,7.57,32.03,75.43,31.32,10.99,14.54,14.56,34.28,8.78,14.59,16.8,10.95,67.61,69.6,63.83,103.66,35.94,82.94,15.84,29.5,23.07,23.01
P04982,4.09,7.73,19.61,24.29,11.71,8.69,4.67,4.71,7.68,1.54,7.72,11.23,9.49,19.36,19.67,23.82,16.8,41.63,6.37,11.82,6.38,8.89
P0AG07,,,,,,,,,,,,,,,,,,,,,,
P37643,13.2,8.77,21.4,9.16,5.21,9.58,13.88,25.46,17.64,6.47,15.04,8.5,56.31,61.58,11.87,29.76,13.58,13.98,16.49,4.28,22.08,9.69
P77269,,,,,,,,,,,,,,,,,,,,,,
P28903,13.82,6.5,15.75,8.25,16.96,19.89,11.81,27.05,13.19,9.51,7.05,5.16,73.32,57.49,29.18,27.18,27.97,23.31,15.08,4.03,28.99,3.8
P0AFF2,31.5,10.31,18.07,39.41,44.54,10.42,24.46,56.69,13.9,22.67,34.25,3.48,4.94,88.78,13.17,55.57,55.4,24.73,26.04,25.69,21.36,36.43
P0AG18,8.61,1.76,1.2,6.28,2.86,1.98,4.09,2.33,5.38,4.9,7.42,0.74,6.57,4.9,6.59,2.81,4.59,2.84,6.5,7.3,7.05,4.59
P39452,32.58,16.63,21.12,15.59,14.53,11.76,6.41,11.72,39.78,17.39,16.31,29.68,57.54,18.45,25.63,43.07,62.17,24.8,10.94,43.55,30.85,12.78
P0ACE7,4.39,1.6,1.4,3.64,5.08,2.33,3.23,9.48,4.97,8.34,7.75,5.66,9.13,5.82,8.03,5.87,2.02,4.83,12.88,8.95,18.39,2.57
P68398,,,,,,,,,,,,,,,,,,,,,,
P0A9Z1,1.8,11.15,21.81,25.57,13.96,8.67,4.59,19.42,7.15,4.77,6.62,4.52,8.41,13.98,27.18,25.55,13.62,8.07,6.87,15.03,10.54,40.24
P0AC81,9.61,7.49,3.23,12.26,13.86,9.02,15.88,13.84,17.25,11.12,6.19,7.57,26.61,20.11,10.93,32.84,10.48,25.02,4.65,8.66,12.42,7.12
P06989,3.07,5.25,5.39,10.03,11.8,8.79,8.55,12.77,12.25,3.88,10.7,5.84,22.97,8.82,13.58,19.51,9.91,1.83,13.28,2.85,17.99,4.72
P07109,48.25,6.31,21.14,18.58,13.51,17.56,3.82,1.56,3.45,8.84,13.74,4.93,43.36,14.56,11.52,15.34,18.52,13.04,9.04,6.19,8.8,11.37
P0AFM2,9.94,9.2,7.05,7.9,11.72,8.92,5.92,13.35,7.8,5.98,1.56,4.56,49.18,11.52,18.29,26.74,9.78,14.86,0.62,8.11,37.7,8.55
Q5H772,128.37,34.68,77.96,57.41,39.7,27.51,50.83,57.98,26.21,25.62,12.4,11.47,84.56,115.38,63.97,82.29,98.49,97.55,36.14,10.79,12.54,43.16
P77316,,,,,,,,,,,,,,,,,,,,,,
P22524,8.76,6.32,6.7,14.95,19.83,9.24,16.95,8.49,7.98,4.5,7.34,9.42,11.19,25.6,17.85,36.96,1.3,4.32,17.84,12.35,13.12,17.64
P69506,41.54,29.09,14.25,8.5,20.11,35.48,25.32,25.77,10.07,8.13,11.84,26.73,11.09,16.96,49.31,41.21,4.22,91.56,24.89,41.07,23.54,39.07
P0A830,31.6,13.96,15.57,27.75,4.78,28.5,25.56,24.22,8.39,44.1,23.56,24,18.11,76.29,3.73,70.83,23.7,23.34,28.65,2.42,18.92,9.34
P28861,19.59,3.26,25.92,10.78,18.56,18.37,2.42,12.53,8.75,11.16,3.09,9.78,63.31,1.22,18.25,5.6,7.62,22.1,16.19,13.04,10.34,15.16
P0AEX5,28.79,4.5,29.98,15.78,15.72,1.8,9.49,30.31,1.37,4.46,5.23,4.83,25.35,35.63,21.79,24.78,21.98,7.87,7.47,18.97,10.95,0.59
P0ACY1,10.33,1.66,10.35,17.84,9.54,2.64,12.78,17.1,5.08,1.64,6.61,10.11,5.98,10.98,1.53,8.88,14.31,6.72,4.34,6.41,10.94,5.43
P0ACB4,22.35,14.96,13.33,10.76,8.29,32.83,14.76,25.07,8.67,2.42,1.41,42.6,31.31,8.88,17.82,9.03,20.83,3.3,18.34,15.07,9.65,19
P20099,27.51,11.35,16.06,15.04,12.31,24.17,8.98,14.28,28.35,23.87,17.23,10.94,52.59,22.57,25.68,4.42,16.2,19.46,16.19,28.5,2.82,21.79
P18775,10.6,15.02,42.84,37.51,22.78,21.41,22.43,36.96,42.22,112.68,44.65,19.7,16.25,37.27,37.23,23.74,15.95,35.45,37.22,50.8,37.02,25.78
P0AC47,16.44,31.79,23.18,6.14,8.57,10.1,7.4,25.26,31.86,21.66,18.18,6.12,38.2,23.61,23.65,39.69,14.37,3.11,29.21,0.66,8.85,40.59
P0ADK6,,,,,,,,,,,,,,,,,,,,,,
P26649,,,,,,,,,,,,,,,,,,,,,,
P0ACE3,50.44,4.38,6.69,8.35,6.88,48.66,19.68,21.25,19.85,20.48,69.48,20.9,21.66,33.9,19.47,42.96,17.79,15.36,12.6,91.09,57.64,13.8
P76002,27.29,9.24,7.32,5.48,17.97,9.96,5.04,7.46,41.5,26.18,7.08,14.45,8.11,9.9,21.76,17.39,18.79,5.93,5.35,7.11,18.94,18.25
P69411,7.8,3.18,9.09,6.01,6.78,14.61,13.13,15.13,8.86,6.27,4.12,12.13,15.7,8.65,16.29,18.89,1.94,3.01,7.99,6.96,1.08,15.65
P75791,24.28,18.34,20.97,12.02,40.02,12.25,3.64,9.35,5.81,8.13,19.81,16.92,30.25,65.77,19.5,117.06,10.81,16.68,9.14,17.21,12.32,21.16
P64455,9.42,3.2,10.5,8.64,5.51,18.79,7.75,14.8,17.05,3.76,11.02,10.19,38.89,62.21,14.74,18.73,66.85,12.4,10.33,11.49,5.44,11.1
P0AD10,19.28,7.75,9.76,30.49,14.07,18.3,10.33,21.45,10.74,8.38,16.56,18.32,12.36,35.68,36.31,73.34,12.85,33.61,27.12,70.22,25.22,10.27
P0ADS9,10.15,7.17,14.65,11.79,12.34,11.47,2.77,10.6,22.03,9.17,6.97,6.07,24.38,27.69,7.81,21.29,7.91,22.29,15.53,10.8,17.91,3.75
P0ADK8,13.91,9.77,11.51,20.37,10.48,14.69,5.47,1.74,4.65,18.39,13.18,4.69,20.63,7.8,4.24,26.69,3.15,3.68,4.78,14.98,14.7,16.01
P45800,14.29,9.09,6.37,19.14,19.72,10.43,7.67,50.88,9.55,8.89,24.87,4.22,28.99,20.28,17.72,13.43,18.03,18.8,20.89,12.12,14.09,17.71
P0CB39,19.33,17.1,24.54,20.76,11.85,25.59,22.82,50.91,23.83,20.26,16.38,9.85,31.47,74.85,32.31,41.69,30.95,22.19,15.37,15.67,2.16,17.54
P27829,14.74,6.25,5.21,11.45,8.83,4.29,14.82,4.78,18.09,11.19,31.58,22.18,39.55,18.76,5.83,45.92,10.36,20.34,2.66,20.91,16.78,14.11
